filename,label
0.jpg,forest
1.jpg,forest
2.jpg,buildings
3.jpg,sea
4.jpg,street
5.jpg,glacier
6.jpg,buildings
7.jpg,sea
8.jpg,glacier
9.jpg,glacier
10.jpg,street
11.jpg,mountain
12.jpg,glacier
13.jpg,sea
14.jpg,mountain
15.jpg,mountain
16.jpg,street
17.jpg,mountain
18.jpg,buildings
19.jpg,sea
20.jpg,forest
21.jpg,street
22.jpg,glacier
23.jpg,glacier
24.jpg,sea
25.jpg,glacier
26.jpg,buildings
27.jpg,street
28.jpg,street
29.jpg,buildings
30.jpg,mountain
31.jpg,buildings
32.jpg,forest
33.jpg,mountain
34.jpg,mountain
35.jpg,mountain
36.jpg,forest
37.jpg,street
38.jpg,sea
39.jpg,mountain
40.jpg,glacier
41.jpg,glacier
42.jpg,sea
43.jpg,glacier
44.jpg,mountain
45.jpg,mountain
46.jpg,forest
47.jpg,sea
48.jpg,sea
49.jpg,buildings
50.jpg,buildings
51.jpg,glacier
52.jpg,mountain
53.jpg,mountain
54.jpg,street
55.jpg,sea
56.jpg,buildings
57.jpg,forest
58.jpg,buildings
59.jpg,mountain
60.jpg,street
61.jpg,buildings
62.jpg,glacier
63.jpg,mountain
64.jpg,sea
65.jpg,street
66.jpg,sea
67.jpg,glacier
68.jpg,mountain
69.jpg,glacier
70.jpg,street
71.jpg,buildings
72.jpg,sea
73.jpg,sea
74.jpg,mountain
75.jpg,sea
76.jpg,buildings
77.jpg,forest
78.jpg,mountain
79.jpg,mountain
80.jpg,mountain
81.jpg,forest
82.jpg,mountain
83.jpg,buildings
84.jpg,forest
85.jpg,mountain
86.jpg,glacier
87.jpg,mountain
88.jpg,street
89.jpg,street
90.jpg,forest
91.jpg,forest
92.jpg,street
93.jpg,glacier
94.jpg,mountain
95.jpg,buildings
96.jpg,forest
97.jpg,glacier
98.jpg,street
99.jpg,forest
100.jpg,buildings
101.jpg,street
102.jpg,sea
103.jpg,glacier
104.jpg,sea
105.jpg,glacier
106.jpg,forest
107.jpg,buildings
108.jpg,street
109.jpg,forest
110.jpg,sea
111.jpg,glacier
112.jpg,street
113.jpg,glacier
114.jpg,street
115.jpg,sea
116.jpg,street
117.jpg,glacier
118.jpg,glacier
119.jpg,mountain
120.jpg,glacier
121.jpg,glacier
122.jpg,buildings
123.jpg,forest
124.jpg,sea
125.jpg,forest
126.jpg,street
127.jpg,street
128.jpg,forest
129.jpg,buildings
130.jpg,glacier
131.jpg,buildings
132.jpg,buildings
133.jpg,sea
134.jpg,street
135.jpg,mountain
136.jpg,forest
137.jpg,sea
138.jpg,glacier
139.jpg,mountain
140.jpg,buildings
141.jpg,glacier
142.jpg,mountain
143.jpg,street
144.jpg,glacier
145.jpg,street
146.jpg,glacier
147.jpg,buildings
148.jpg,glacier
149.jpg,glacier
150.jpg,glacier
151.jpg,street
152.jpg,street
153.jpg,sea
154.jpg,mountain
155.jpg,glacier
156.jpg,sea
157.jpg,sea
158.jpg,forest
159.jpg,sea
160.jpg,glacier
161.jpg,sea
162.jpg,street
163.jpg,street
164.jpg,forest
165.jpg,street
166.jpg,forest
167.jpg,buildings
168.jpg,sea
169.jpg,glacier
170.jpg,sea
171.jpg,mountain
172.jpg,glacier
173.jpg,buildings
174.jpg,forest
175.jpg,glacier
176.jpg,sea
177.jpg,sea
178.jpg,sea
179.jpg,mountain
180.jpg,street
181.jpg,sea
182.jpg,mountain
183.jpg,sea
184.jpg,forest
185.jpg,buildings
186.jpg,forest
187.jpg,glacier
188.jpg,forest
189.jpg,mountain
190.jpg,mountain
191.jpg,sea
192.jpg,mountain
193.jpg,glacier
194.jpg,sea
195.jpg,sea
196.jpg,street
197.jpg,forest
198.jpg,street
199.jpg,sea
200.jpg,street
201.jpg,mountain
202.jpg,forest
203.jpg,street
204.jpg,glacier
205.jpg,sea
206.jpg,mountain
207.jpg,sea
208.jpg,buildings
209.jpg,sea
210.jpg,buildings
211.jpg,buildings
212.jpg,mountain
213.jpg,street
214.jpg,mountain
215.jpg,buildings
216.jpg,forest
217.jpg,glacier
218.jpg,mountain
219.jpg,glacier
220.jpg,buildings
221.jpg,glacier
222.jpg,sea
223.jpg,glacier
224.jpg,sea
225.jpg,mountain
226.jpg,mountain
227.jpg,glacier
228.jpg,mountain
229.jpg,street
230.jpg,street
231.jpg,glacier
232.jpg,sea
233.jpg,street
234.jpg,buildings
235.jpg,buildings
236.jpg,forest
237.jpg,glacier
238.jpg,forest
239.jpg,mountain
240.jpg,street
241.jpg,forest
242.jpg,mountain
243.jpg,street
244.jpg,sea
245.jpg,mountain
246.jpg,sea
247.jpg,sea
248.jpg,sea
249.jpg,forest
250.jpg,buildings
251.jpg,glacier
252.jpg,sea
253.jpg,buildings
254.jpg,street
255.jpg,buildings
256.jpg,buildings
257.jpg,glacier
258.jpg,street
259.jpg,street
260.jpg,buildings
261.jpg,forest
262.jpg,sea
263.jpg,forest
264.jpg,sea
265.jpg,buildings
266.jpg,forest
267.jpg,mountain
268.jpg,street
269.jpg,glacier
270.jpg,forest
271.jpg,forest
272.jpg,buildings
273.jpg,street
274.jpg,mountain
275.jpg,street
276.jpg,forest
277.jpg,glacier
278.jpg,forest
279.jpg,glacier
280.jpg,glacier
281.jpg,sea
282.jpg,buildings
283.jpg,buildings
284.jpg,glacier
285.jpg,sea
286.jpg,forest
287.jpg,mountain
288.jpg,street
289.jpg,forest
290.jpg,street
291.jpg,glacier
292.jpg,glacier
293.jpg,mountain
294.jpg,glacier
295.jpg,glacier
296.jpg,glacier
297.jpg,sea
298.jpg,mountain
299.jpg,glacier
300.jpg,mountain
301.jpg,sea
302.jpg,mountain
303.jpg,sea
304.jpg,glacier
305.jpg,mountain
306.jpg,street
307.jpg,forest
308.jpg,street
309.jpg,buildings
310.jpg,mountain
311.jpg,forest
312.jpg,buildings
313.jpg,mountain
314.jpg,buildings
315.jpg,street
316.jpg,glacier
317.jpg,street
318.jpg,sea
319.jpg,sea
320.jpg,mountain
321.jpg,mountain
322.jpg,forest
323.jpg,buildings
324.jpg,sea
325.jpg,mountain
326.jpg,sea
327.jpg,glacier
328.jpg,street
329.jpg,mountain
330.jpg,sea
331.jpg,glacier
332.jpg,glacier
333.jpg,mountain
334.jpg,sea
335.jpg,glacier
336.jpg,buildings
337.jpg,buildings
338.jpg,buildings
339.jpg,sea
340.jpg,forest
341.jpg,forest
342.jpg,glacier
343.jpg,sea
344.jpg,mountain
345.jpg,buildings
346.jpg,sea
347.jpg,forest
348.jpg,mountain
349.jpg,forest
350.jpg,buildings
351.jpg,forest
352.jpg,glacier
353.jpg,mountain
354.jpg,street
355.jpg,street
356.jpg,forest
357.jpg,mountain
358.jpg,mountain
359.jpg,sea
360.jpg,mountain
361.jpg,forest
362.jpg,glacier
363.jpg,forest
364.jpg,forest
